state,sex,c34_site,age_group,num_cases,person_years
Alabama,2,95,3,0,762052
Alabama,2,95,4,0,785795
Alabama,2,95,5,0,855155
Alabama,2,95,6,0,820403
Alabama,2,95,7,0,778991
Alabama,2,95,8,0,761761
Alabama,2,95,9,5,777854
Alabama,2,95,10,10,801130
Alabama,2,95,11,15,867784
Alabama,2,95,12,31,874487
Alabama,2,95,13,30,792513
Alabama,2,95,14,48,687840
Alabama,2,95,15,63,519501
Alabama,2,95,16,52,386570
Alabama,2,95,17,34,277171
Alabama,2,95,18,49,288560
Alabama,2,95,19,0,0
Alabama,1,96,1,0,748751
Alabama,1,96,2,0,776383
Alabama,1,96,3,0,792473
Alabama,1,96,4,0,811958
Alabama,1,96,5,1,867073
Alabama,1,96,6,1,803453
Alabama,1,96,7,2,747581
Alabama,1,96,8,11,720894
Alabama,1,96,9,17,736737
Alabama,1,96,10,23,763736
Alabama,1,96,11,116,817501
Alabama,1,96,12,154,806290
Alabama,1,96,13,244,710285
Alabama,1,96,14,249,602518
Alabama,1,96,15,254,432262
Alabama,1,96,16,219,293645
Alabama,1,96,17,120,185331
Alabama,1,96,18,48,138559
Alabama,1,96,19,0,0
Alabama,2,96,1,0,722286
Alabama,2,96,2,0,746955
Alabama,2,96,3,1,762052
Alabama,2,96,4,1,785795
Alabama,2,96,5,4,855155
Alabama,2,96,6,0,820403
Alabama,2,96,7,6,778991
Alabama,2,96,8,7,761761
Alabama,2,96,9,11,777854
Alabama,2,96,10,29,801130
Alabama,2,96,11,70,867784
Alabama,2,96,12,142,874487
Alabama,2,96,13,146,792513
Alabama,2,96,14,196,687840
Alabama,2,96,15,195,519501
Alabama,2,96,16,148,386570
Alabama,2,96,17,93,277171
Alabama,2,96,18,44,288560
Alabama,2,96,19,0,0
Alabama,1,97,1,0,748751
Alabama,1,97,2,0,776383
Alabama,1,97,3,0,792473
Alabama,1,97,4,0,811958
Alabama,1,97,5,0,867073
Alabama,1,97,6,0,803453
Alabama,1,97,7,0,747581
Alabama,1,97,8,0,720894
Alabama,1,97,9,0,736737
Alabama,1,97,10,1,763736
Alabama,1,97,11,0,817501
Alabama,1,97,12,1,806290
Alabama,1,97,13,2,710285
Alabama,1,97,14,1,602518
Alabama,1,97,15,1,432262
Alabama,1,97,16,1,293645
Alabama,1,97,17,0,185331
Alabama,1,97,18,1,138559
Alabama,1,97,19,0,0
Alabama,2,97,1,0,722286
Alabama,2,97,2,0,746955
Alabama,2,97,3,1,762052
Alabama,2,97,4,0,785795
Alabama,2,97,5,0,855155
Alabama,2,97,6,0,820403
Alabama,2,97,7,0,778991
Alabama,2,97,8,0,761761
Alabama,2,97,9,0,777854
Alabama,2,97,10,0,801130
Alabama,2,97,11,1,867784
Alabama,2,97,12,0,874487
Alabama,2,97,13,0,792513
Alabama,2,97,14,0,687840
Alabama,2,97,15,0,519501
Alabama,2,97,16,0,386570
Alabama,2,97,17,0,277171
Alabama,2,97,18,0,288560
Alabama,2,97,19,0,0
Alabama,1,98,1,0,748751
Alabama,1,98,2,0,776383
Alabama,1,98,3,1,792473
Alabama,1,98,4,0,811958
Alabama,1,98,5,0,867073
Alabama,1,98,6,0,803453
Alabama,1,98,7,0,747581
Alabama,1,98,8,0,720894
Alabama,1,98,9,0,736737
Alabama,1,98,10,0,763736
Alabama,1,98,11,1,817501
Alabama,1,98,12,0,806290
Alabama,1,98,13,2,710285
Alabama,1,98,14,0,602518
Alabama,1,98,15,2,432262
Alabama,1,98,16,1,293645
